"Customer_id","monetary_value","frequency","recency","RFMClass"
"222","1316","20.0","5","2"
"444","1317","144.0","1","2"
"444","1318","354.0","1","2"
"111","1319","4.0","6","2"
"343","1320","84.0","1","2"
"131","1321","11.0","3","2"
"123","1322","8.0","4","2"
"332","1323","123.0","3","2"
"333","1324","61.0","2","2"
"122","1325","2.0","5","2"
"443","1326","319.0","1","2"
"111","1327","2.0","12","2"
"323","1328","130.0","5","2"
"111","1329","2.0","15","2"
"132","1330","2.0","2","2"
"243","1331","46.0","1","2"
"132","1332","4.0","3","2"
"112","1333","3.0","6","2"
"443","1334","373.0","1","2"
"344","1335","134.0","1","2"
"221","1336","47.0","5","2"
"111","1337","9.0","6","2"
"233","1338","49.0","3","2"
"444","1339","234.0","1","2"
"434","1340","213.0","3","2"
"232","1341","36.0","2","2"
"333","1342","75.0","3","2"
"432","1343","239.0","2","2"
"444","1344","266.0","1","2"
"111","1345","10.0","66","2"
"233","1346","20.0","3","2"
"243","1347","40.0","1","2"
"211","1348","20.0","14","2"
"432","1349","216.0","3","2"
"434","1350","174.0","2","2"
"321","1351","87.0","4","2"
"331","1352","71.0","2","2"
"444","1353","276.0","1","2"
"223","1354","39.0","4","2"
"343","1355","98.0","1","2"
"123","1356","11.0","4","2"
"244","1357","33.0","1","2"
"311","1358","51.0","7","2"
"423","1359","297.0","5","2"
"323","1360","85.0","5","2"
"111","1361","9.0","7","2"
"232","1362","41.0","2","2"
"111","1363","11.0","31","2"
"343","1364","67.0","1","2"
"444","1365","331.0","1","2"
"111","1366","9.0","10","2"
"111","1367","2.0","24","2"
"111","1368","2.0","14","2"
"332","1369","68.0","2","2"
"111","1370","5.0","32","2"
"432","1371","202.0","3","2"
"343","1372","107.0","1","2"
"112","1373","4.0","7","2"
"444","1374","218.0","1","2"
"312","1375","60.0","9","2"
"144","1376","2.0","1","2"
"124","1377","11.0","4","2"
"433","1378","239.0","2","2"
"344","1379","95.0","1","2"
"111","1380","11.0","7","2"
"311","1381","91.0","7","2"
"311","1382","53.0","13","2"
"342","1383","90.0","1","2"
"444","1384","372.0","1","2"
"212","1385","31.0","7","2"
"111","1386","12.0","7","2"
"121","1387","3.0","4","2"
"111","1388","2.0","24","2"
"244","1389","43.0","1","2"
"144","1390","4.0","1","2"
"433","1391","247.0","2","2"
"211","1392","42.0","10","2"
"442","1393","177.0","1","2"
"322","1394","92.0","4","2"
"322","1395","110.0","4","2"
"211","1396","29.0","7","2"
"211","1397","26.0","15","2"
"322","1398","52.0","5","2"
"422","1399","179.0","5","2"
"211","1400","32.0","8","2"
"222","1401","44.0","5","2"
"222","1402","22.0","4","2"
"111","1403","10.0","6","2"
"333","1404","81.0","2","2"
"444","1405","373.0","1","2"
"444","1406","326.0","1","2"
"211","1407","43.0","13","2"
"232","1408","30.0","2","2"
"444","1409","184.0","1","2"
"434","1410","235.0","2","2"
"111","1411","9.0","14","2"
"421","1412","176.0","5","2"
"332","1413","111.0","3","2"
"444","1414","278.0","1","2"
"443","1415","318.0","1","2"
"131","1416","7.0","3","2"
"121","1417","2.0","5","2"
"432","1418","254.0","3","2"
"311","1419","51.0","6","2"
"111","1420","9.0","10","2"
"344","1421","142.0","1","2"
"332","1422","51.0","2","2"
"111","1423","8.0","8","2"
"433","1424","155.0","3","2"
"333","1425","109.0","2","2"
"412","1426","151.0","7","2"
"443","1427","332.0","1","2"
"444","1428","226.0","1","2"
"333","1429","74.0","2","2"
"323","1430","51.0","4","2"
"322","1431","88.0","5","2"
"121","1432","15.0","4","2"
"444","1433","197.0","1","2"
"111","1434","3.0","15","2"
"233","1435","31.0","3","2"
"221","1436","21.0","4","2"
"221","1437","24.0","5","2"
"124","1438","8.0","4","2"
"433","1439","212.0","2","2"
"112","1440","9.0","6","2"
"111","1441","11.0","6","2"
"111","1442","2.0","12","2"
"111","1443","8.0","14","2"
"122","1444","3.0","4","2"
"234","1445","40.0","2","2"
"212","1446","18.0","6","2"
"111","1447","3.0","45","2"
"111","1448","8.0","18","2"
"244","1449","19.0","1","2"
"333","1450","108.0","2","2"
"434","1451","223.0","2","2"
"321","1452","71.0","5","5"
"331","1453","51.0","3","5"
"311","1454","89.0","6","2"
"111","1455","8.0","10","2"
"434","1456","225.0","2","2"
"212","1457","47.0","6","5"
"344","1458","107.0","1","2"
"211","1459","21.0","7","2"
"343","1460","65.0","1","5"
"433","1461","207.0","3","2"
"122","1462","11.0","5","2"
"323","1463","115.0","4","2"
"434","1464","235.0","2","2"
"443","1465","163.0","1","2"
"111","1466","9.0","14","2"
"333","1467","124.0","2","2"
"232","1468","23.0","3","5"
"333","1469","64.0","2","5"
"111","1470","17.0","9","5"
"133","1471","16.0","2","5"
"121","1472","17.0","4","5"
"423","1473","158.0","4","2"
"424","1474","235.0","4","2"
"444","1475","219.0","1","2"
"211","1476","45.0","9","5"
"213","1477","21.0","6","5"
"312","1478","127.0","8","2"
"244","1479","39.0","1","5"
"332","1480","121.0","2","2"
"443","1481","260.0","1","5"
"144","1482","10.0","1","5"
"434","1483","271.0","2","5"
"444","1484","165.0","1","2"
"422","1485","157.0","4","2"
"444","1486","215.0","1","2"
"134","1487","6.0","2","5"
"444","1488","366.0","1","5"
"322","1489","60.0","4","5"
"244","1490","43.0","1","5"
"212","1491","19.0","6","5"
"221","1492","32.0","4","5"
"244","1493","22.0","1","5"
"311","1494","109.0","8","2"
"111","1495","8.0","19","5"
"444","1496","320.0","1","5"
"444","1497","295.0","1","5"
"444","1498","358.0","1","5"
"444","1499","185.0","1","2"
"433","1500","191.0","2","2"
"233","1501","44.0","2","5"
"344","1502","52.0","1","5"
"243","1503","26.0","1","5"
"232","1504","38.0","3","5"
"134","1505","9.0","3","5"
"444","1506","297.0","1","5"
"231","1507","33.0","3","5"
"111","1508","9.0","10","5"
"122","1509","9.0","5","5"
"111","1510","10.0","13","5"
"444","1511","218.0","1","2"
"111","1512","2.0","12","5"
"333","1513","65.0","2","5"
"111","1514","1.0","23","5"
"333","1515","141.0","2","2"
"111","1516","4.0","14","5"
"322","1517","130.0","5","2"
"212","1518","34.0","7","5"
"344","1519","119.0","1","2"
"311","1520","107.0","9","2"
"111","1521","11.0","7","5"
"311","1522","71.0","7","5"
"113","1523","16.0","15","5"
"442","1524","311.0","1","5"
"232","1525","35.0","3","5"
"444","1526","362.0","1","5"
"312","1527","92.0","8","5"
"111","1528","1.0","18","5"
"233","1529","22.0","2","5"
